date_published,title,description,skills,title_url,image_url,app_url,blog_url,github_url,image_name
9/19/22,Movie Review Sentiment Classification with Deep Learning,Identifying sentiment using embedding layers and neural networks,"deep learning, keras, nlp",https://colab.research.google.com/github/NathanZorndorf/oreilly-hands-on-machine-learning/blob/main/chapter-13-exercises-imdb-movie-review-classifier.ipynb,https://colab.research.google.com/github/NathanZorndorf/oreilly-hands-on-machine-learning/blob/main/chapter-13-exercises-imdb-movie-review-classifier.ipynb,,https://colab.research.google.com/github/NathanZorndorf/oreilly-hands-on-machine-learning/blob/main/chapter-13-exercises-imdb-movie-review-classifier.ipynb,https://github.com/NathanZorndorf/oreilly-hands-on-machine-learning/blob/main/chapter-13-exercises-imdb-movie-review-classifier.ipynb,imdb.png
9/18/22,CIFAR10 Image Classification with Deep Neural Nets,"Classifying images in the CIFAR10 dataset experimenting with many types of activation functions, initialization schemes, regularization, and more.","deep learning, keras, tensorboard",https://colab.research.google.com/github/NathanZorndorf/oreilly-hands-on-machine-learning/blob/main/chapter-11-exercises-CIFAR10-classification.ipynb,https://colab.research.google.com/github/NathanZorndorf/oreilly-hands-on-machine-learning/blob/main/chapter-11-exercises-CIFAR10-classification.ipynb,https://colab.research.google.com/github/NathanZorndorf/oreilly-hands-on-machine-learning/blob/main/chapter-11-exercises-CIFAR10-classification.ipynb,,https://github.com/NathanZorndorf/oreilly-hands-on-machine-learning/blob/main/chapter-11-exercises-CIFAR10-classification.ipynb,cifar10.png
4/27/17,Camera Price Prediction on Ebay,Helping Ebay users make smarter decisions with machine learning,"Python, Machine Learning, Scikit-learn, regression models",https://nathanzorndorf.medium.com/helping-ebay-users-make-smarter-decisions-with-machine-learning-c2c8156667a6,https://nathanzorndorf.medium.com/helping-ebay-users-make-smarter-decisions-with-machine-learning-c2c8156667a6,,https://nathanzorndorf.medium.com/helping-ebay-users-make-smarter-decisions-with-machine-learning-c2c8156667a6,https://github.com/NathanZorndorf/ebay-price-predictor,ebay-price-predictor.png
2/11/21,Food Classifier App,Classifies pictures of food into various categories.,"Deep Learning, Google Cloud Services, Python",https://food-classifier-app-p6odrwu75a-uw.a.run.app,https://food-classifier-app-p6odrwu75a-uw.a.run.app,https://food-classifier-app-p6odrwu75a-uw.a.run.app,https://food-classifier-app-p6odrwu75a-uw.a.run.app,,confusion-matrix.png
5/1/21,Udacity A/B Testing Course - Final Project,A/B testing using hypothetical data from Udactiy,"Statistics, Hypothesis Testing, A/B Testing",https://www.kaggle.com/nathanzorndorf/udacity-a-b-testing-final-course-project,https://www.kaggle.com/nathanzorndorf/udacity-a-b-testing-final-course-project,,https://www.kaggle.com/nathanzorndorf/udacity-a-b-testing-final-course-project,,a-b-testing-udacity.png
2/1/21,COVID-19 Simulation with Simpy,Simulating the Spread of COVID-19 in a Small Community Using Simpy,"Python, Simulation",https://nathanzorndorf.medium.com/simulating-the-spread-of-covid-19-in-a-small-community-using-simpy-7e920b0b7413,https://nathanzorndorf.medium.com/simulating-the-spread-of-covid-19-in-a-small-community-using-simpy-7e920b0b7413,,https://nathanzorndorf.medium.com/simulating-the-spread-of-covid-19-in-a-small-community-using-simpy-7e920b0b7413,https://github.com/NathanZorndorf/simpy-covid-simulation,covid-simulation.png
